Page,Key / Context,English,Polish
Navigation,Home,Home,Strona główna
Navigation,Travel,Travel,Podróż
Navigation,Events,Events,Imprezy
Navigation,Explore,Explore,Odkrywaj
Navigation,Registry,Registry,Prezenty
Navigation,Our Story,Our Story,Nasza historia
Navigation,RSVP,RSVP,RSVP
Home,Date line (mobile),"September 17, 2026 | Tuscany, Italy","17 września 2026 | Toskania, Włochy"
Home,Date line (desktop),"September 17, 2026 | Rapolano Terme, Tuscany, Italy","17 września 2026 | Rapolano Terme, Toskania, Włochy"
Home,Welcome paragraph — sentence 1,"We're getting married in Tuscany on September 17, 2026, and we would absolutely love for you to be there.","Bierzemy ślub w Toskanii 17 września 2026 roku i będziemy szczęśliwi, mogąc Was tam mieć."
Home,Welcome paragraph — sentence 2,"There will be three days of festivities at Borgo Laticastelli—a private estate in the hills of Rapolano Terme—with a welcome party on Wednesday evening, the wedding ceremony and reception on Thursday, and a relaxed il dolce far niente day by the pool on Friday.","Czekają nas trzy dni uroczystości w Borgo Laticastelli—prywatnej posiadłości w wzgórzach Rapolano Terme—z przyjęciem powitalnym w środę wieczorem, ceremonią ślubną i weselem w czwartek oraz relaksującym dniem il dolce far niente przy basenie w piątek."
Home,Welcome paragraph — sentence 3,"We know Italy is a long way to travel, so we mean it: no pressure.","Wiemy, że Włochy to daleka podróż i mówimy poważnie: bez presji."
Home,Welcome paragraph — sentence 4,"But for those who make the trip, we promise every day will be worth it. Our guest list is small and the estate is intimate—please RSVP by June 16th so we can plan accordingly and ensure your spot is reserved.","Ale dla tych, którzy zdecydują się przyjechać, obiecujemy, że każdy dzień będzie tego wart. Nasza lista gości jest kameralna—prosimy o RSVP do 16 czerwca, abyśmy mogli odpowiednio zaplanować i zarezerwować Wasze miejsca."
Home,RSVP button,RSVP Here,Odpowiedz tutaj
Home,Countdown label,Countdown to Tuscany,Odliczanie do Toskanii
Home,Days label,Days,Dni
The Events,Page heading,The Events,Uroczystości
The Events,Intro,"Three days in the Tuscan countryside. Here's what to expect.","Trzy dni w toskańskiej wsi. Oto czego się spodziewać."
The Events,FAQ section heading,Concierge FAQs,Często zadawane pytania
The Events,Attire label,Attire:,Strój:
The Events,Colors note,"Here are a few colors to inspire but wear whatever makes you feel good.","Oto kilka kolorów dla inspiracji, ale przede wszystkim noś to, w czym czujesz się dobrze."
The Events,Nav → Travel,Travel →,Podróż →
The Events,Nav → Explore,Explore →,Odkrywaj →
The Events,Wed day label,"Wednesday, September 16","Środa, 16 września"
The Events,Wed event title,Welcome Party,Przyjęcie powitalne
The Events,Wed description,"Join us under the stars for wood-fired pizza and the best wine in the world to welcome you to Tuscany.","Dołącz do nas pod gwiazdami na pizzę z pieca opalanego drewnem i najlepsze wino na świecie, aby powitać Cię w Toskanii."
The Events,Wed attire,"La Notte Bianca — All white everything: linens, summer dresses, effortless Italian style. You've spent years avoiding white at weddings. This is your night. Head to toe, linens to silk.. whatever you'd like but all white, no exceptions.","La Notte Bianca — Wszystko w bieli: ubrania lniane, letnie sukienki, beztroski włoski styl. Przez lata unikałeś bieli na weselach. Ta noc jest dla Ciebie. Od stóp do głów — len, jedwab — cokolwiek zechcesz, ale wyłącznie w bieli, bez wyjątków."
The Events,Thu day label,"Thursday, September 17","Czwartek, 17 września"
The Events,Thu event title,The Wedding Day,Dzień ślubu
The Events,Thu description,"Our ceremony overlooking the Tuscan hills, followed by an evening of aperitivo, dinner, and dancing the night away.","Ceremonia z widokiem na toskańskie wzgórza, a następnie wieczór aperitivo, kolacja i taniec do białego rana."
The Events,Thu attire,"Tuscan Formal — An excuse to dress up. Floor-length dresses. Suits. Rich colors and textures are encouraged. Have fun with it!","Toskański styl formalny — Idealny pretekst do eleganckiego ubioru. Suknie do ziemi. Garnitury. Zachęcamy do bogatych kolorów i faktur. Bawcie się!"
The Events,Fri day label,"Friday, September 18","Piątek, 18 września"
The Events,Fri event title,La Dolce Far Niente Pool Party,La Dolce Far Niente — Impreza przy basenie
The Events,Fri description,"The art of doing nothing. Recover by the pool with lunch, drinks, and sunshine.","Sztuka nierobienia niczego. Odpocznij przy basenie z lunchem, drinkami i słońcem."
The Events,Fri attire,Vintage Resort Wear,Styl Vintage Resort
The Events,FAQ 1 — Question,What is the weather like in September?,Jaka jest pogoda we wrześniu?
The Events,FAQ 1 — Answer,"Late September in Tuscany is typically beautiful, with warm, sunny days (around 75°F / 24°C) and crisp evenings (around 55°F / 13°C). We recommend bringing a light jacket or wrap for the evening events. Don't forget a bathing suit!","Późny wrzesień w Toskanii jest zazwyczaj piękny — ciepłe, słoneczne dni (ok. 24°C) i chłodne wieczory (ok. 13°C). Polecamy zabrać lekką kurtkę lub szal na wieczorne uroczystości. Nie zapomnij kostiumu kąpielowego!"
The Events,FAQ 2 — Question,What shoes should I wear?,Jakie buty wybrać?
The Events,FAQ 2 — Answer,"The estate features cobblestone paths and grass — stilettos will not be your friend. Block heels, wedges, or dressy flats are strongly recommended for all three days. This applies especially to the ceremony on Thursday.","Posiadłość ma brukowane ścieżki i trawnik — szpilki nie będą Twoją przyjaciółką. Zdecydowanie polecamy obcasy słupkowe, koturny lub eleganckie baleriny na wszystkie trzy dni. Dotyczy to szczególnie ceremonii w czwartek."
The Events,FAQ 3 — Question,Are kids welcome?,Czy dzieci są mile widziane?
The Events,FAQ 3 — Answer,"We love your kids, we really do. However, this celebration is just for the grown-ups. We do have a small number of children attending who are part of the immediate family. Thank you for understanding!","Kochamy Wasze dzieci, naprawdę. Jednak ta uroczystość jest tylko dla dorosłych. Wśród gości jest kilkoro dzieci z najbliższej rodziny. Dziękujemy za zrozumienie!"
The Events,FAQ 4 — Question,Can I bring a date?,Czy mogę przyjść z partnerem/partnerką?
The Events,FAQ 4 — Answer,"While we'd love to celebrate with everyone, our venue has limited capacity. We are only able to accommodate the guests specifically listed on your invitation.","Chętnie świętowalibyśmy ze wszystkimi, ale nasze miejsce ma ograniczoną pojemność. Możemy przyjąć wyłącznie gości wymienionych na zaproszeniu."
The Events,FAQ 5 — Question,Are gifts expected?,Czy prezenty są oczekiwane?
The Events,FAQ 5 — Answer,"No! The greatest gift you can give us is being there. That said, for those who'd like to celebrate from afar or do a little something extra, we will have a registry linked soon.","Nie! Największym prezentem, jaki możecie nam dać, jest Wasza obecność. Dla tych, którzy chcieliby coś podarować lub uczcić ten dzień z daleka, niebawem pojawi się link do naszej listy ślubnej."
Travel,Page heading,Getting to Borgo Laticastelli,Jak dotrzeć do Borgo Laticastelli
Travel,Intro,"The journey to Tuscany is part of the magic. Whether you fly, take the train, or rent a car, every route leads through some of the most beautiful landscape in the world.","Podróż do Toskanii jest częścią magii. Niezależnie od tego, czy lecisz samolotem, jedziesz pociągiem, czy wynajmujesz samochód, każda trasa prowadzi przez jedne z najpiękniejszych krajobrazów na świecie."
Travel,Things to Know heading,Things to Know,Ważne informacje
Travel,Passport notice,"Important: Italy requires your passport to be valid for at least six months beyond your planned date of departure. Please check your passport expiration date today! If it expires before March 2027, you will need to renew it before booking your flights.","Ważne: Włochy wymagają, aby paszport był ważny przez co najmniej sześć miesięcy po planowanej dacie powrotu. Sprawdź dziś datę ważności swojego paszportu! Jeśli wygasa przed marcem 2027 roku, musisz go odnowić przed zakupem biletów."
Travel,IDP / adapter notice,"If you plan to rent a car, you will need an International Driver's Permit (IDP)—required by Italian law. You can obtain one through AAA for approximately $20 before your trip. Also, don't forget to pack Type C or Type L travel adapters.","Jeśli planujesz wynajem samochodu, będziesz potrzebować Międzynarodowego Prawa Jazdy (IDP)—wymaganego przez włoskie prawo. Można je uzyskać przez AAA za ok. 20 USD przed wyjazdem. Nie zapomnij też spakować adapterów podróżnych Type C lub Type L."
Travel,Nav → Events,Events →,Imprezy →
Travel,Nav → Explore,Explore →,Odkrywaj →
Travel,By Air — title,By Air,Samolotem
Travel,By Air — subtitle,INTERNATIONAL & DOMESTIC FLIGHTS,LOTY KRAJOWE I ZAGRANICZNE
Travel,By Air — body,"Borgo Laticastelli is reachable from several airports: Florence (FLR) — 1 hour, Pisa (PSA) — 2 hours, Rome (FCO) — 2.5 hours. For international flights, Rome offers the most direct options. For the easiest overall journey, Florence is your best bet.","Do Borgo Laticastelli można dotrzeć z kilku lotnisk: Florencja (FLR) — 1 godzina, Piza (PSA) — 2 godziny, Rzym (FCO) — 2,5 godziny. Na loty międzynarodowe Rzym oferuje najwygodniejsze połączenia bezpośrednie. Dla najłatwiejszej podróży Florencja to najlepszy wybór."
Travel,By Air — extra,"If you're traveling solo and would like to coordinate a shared drive or train with other guests, just let us know and we'll connect you!","Jeśli podróżujesz solo i chciałbyś/chciałabyś skoordynować wspólną podróż samochodem lub pociągiem z innymi gośćmi, daj nam znać, a połączymy Cię z nimi!"
Travel,By Train — title,By Train & Transfers,Pociągiem i transfery
Travel,By Train — subtitle,HIGH-SPEED ITALIAN RAIL,SZYBKIE WŁOSKIE KOLEJE
